"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","427","TC01 Signup Valid User","firefox","2026-06-05","passed","2026-06-05","","api-addon.spec.js","",""
"","1681","verify close button works or not","firefox","2026-06-05","passed","2026-06-05","verifying checkout services","checkout.spec.js","",""
"","470","verify each product on home webpage displays product image","firefox","2026-06-05","passed","2026-06-05","testing catalog products","catalog.spec.js","",""
"","615","Verify All Navbar Links Visible","firefox","2026-06-05","passed","2026-06-05","verify navigation services","navigation.spec.js","",""
"","89","TC17 JSON Response","chromium","2026-06-05","passed","2026-06-05","","api-addon.spec.js","",""
"","59","TC08 View Cart","firefox","2026-06-05","passed","2026-06-05","","api-addon.spec.js","",""
"","1","Verify Modal login Does Not affect Navigation","firefox","2026-06-05","skipped","2026-06-05","verify navigation services","navigation.spec.js","",""
"","620","Verify Navigation Link Clickable","webkit","2026-06-05","passed","2026-06-05","verify navigation services","navigation.spec.js","",""
"","1859","Password Field Masking","webkit","2026-06-05","passed","2026-06-05","signup","login.spec.js","",""
"","1907","testing weather logout is visible or not","firefox","2026-06-05","passed","2026-06-05","signup","login.spec.js","",""
"","260","Verify each product on home webpage displays product price","chromium","2026-06-05","passed","2026-06-05","testing catalog products","catalog.spec.js","",""
"","850","verify second close button is enable or not","firefox","2026-06-05","passed","2026-06-05","verifying support or contact services","support-addon.spec.js","",""
"","338","verify signup navigation","chromium","2026-06-05","passed","2026-06-05","verify navigation services","navigation.spec.js","",""
"","1493","testing with wrong username","firefox","2026-06-05","passed","2026-06-05","signup","login.spec.js","",""
"","1799","verifying missing card details","webkit","2026-06-05","passed","2026-06-05","verifying checkout services","checkout.spec.js","",""
"","290","TC20 Stability","firefox","2026-06-05","passed","2026-06-05","","api-addon.spec.js","",""
"","1153","verigying the RAM details are same or not in both home page and details page","firefox","2026-06-05","passed","2026-06-05","product details service","productdetails.spec.js","",""
"","2747","Verify correct product price is added","webkit","2026-06-05","passed","2026-06-05","verify shopping cart","shoppingcart.spec.js","",""
"","662","verify each product on home webpage displays product image","webkit","2026-06-05","passed","2026-06-05","testing catalog products","catalog.spec.js","",""
"","444","testing weather login is visible or not","firefox","2026-06-05","passed","2026-06-05","signup","login.spec.js","",""
"","258","testing weather login is visible or not","chromium","2026-06-05","passed","2026-06-05","signup","login.spec.js","",""
"","1203","verify close button in the contact form is enable or not","webkit","2026-06-05","passed","2026-06-05","verifying support or contact services","support-addon.spec.js","",""
"","686","verify cart navigation","firefox","2026-06-05","passed","2026-06-05","verify navigation services","navigation.spec.js","",""
"","1094","verify weather addtocart in the details tab is there or not","firefox","2026-06-05","passed","2026-06-05","product details service","productdetails.spec.js","",""
"","1107","Verify cart is empty when no products are added","webkit","2026-06-05","passed","2026-06-05","verify shopping cart","shoppingcart.spec.js","",""
"","279","home page load validation","chromium","2026-06-05","passed","2026-06-05","signup","login.spec.js","",""
"","83","TC08 View Cart","webkit","2026-06-05","passed","2026-06-05","","api-addon.spec.js","",""
"","1023","verifying the core details are same or not in both home page and details page","firefox","2026-06-05","passed","2026-06-05","product details service","productdetails.spec.js","",""
"","1081","verify all the name field in the order page are visible","firefox","2026-06-05","passed","2026-06-05","verifying checkout services","checkout.spec.js","",""
"","3582","verify weather the product image is same or not in cart","webkit","2026-06-05","passed","2026-06-05","product details service","productdetails.spec.js","",""
"","985","verify weather the year field in the order form is visible or not","firefox","2026-06-05","passed","2026-06-05","verifying checkout services","checkout.spec.js","",""
"","4187","verify placeorderform is opening or not which contains details","firefox","2026-06-05","passed","2026-06-05","product details service","productdetails.spec.js","",""
"","856","testing with wrong password","chromium","2026-06-05","passed","2026-06-05","signup","login.spec.js","",""
"","2064","verify weather the placeorder is visible or no in cart","firefox","2026-06-05","passed","2026-06-05","product details service","productdetails.spec.js","",""
"","1409","verify weather the product name is correctly displayed in homepage and the details","webkit","2026-06-05","passed","2026-06-05","product details service","productdetails.spec.js","",""
"","982","verifying missing card details","chromium","2026-06-05","passed","2026-06-05","verifying checkout services","checkout.spec.js","",""
"","346","Verify No Broken Navigation","chromium","2026-06-05","passed","2026-06-05","verify navigation services","navigation.spec.js","",""
"","83","TC17 JSON Response","firefox","2026-06-05","passed","2026-06-05","","api-addon.spec.js","",""
"","822","testing with empty username","chromium","2026-06-05","passed","2026-06-05","signup","login.spec.js","",""
"","2706","testing with correct credentials","webkit","2026-06-05","passed","2026-06-05","signup","login.spec.js","",""
"","1456","testing with empty password","firefox","2026-06-05","passed","2026-06-05","signup","login.spec.js","",""
"","554","testing weather login is visible or not","webkit","2026-06-05","passed","2026-06-05","signup","login.spec.js","",""
"","2130","verify weather the user is able to fill the data in order form","firefox","2026-06-05","passed","2026-06-05","verifying checkout services","checkout.spec.js","",""
"","555","verifying weather about us details are visible or not","firefox","2026-06-05","passed","2026-06-05","product details service","productdetails.spec.js","",""
"","722","verigying the RAM details are same or not in both home page and details page","chromium","2026-06-05","passed","2026-06-05","product details service","productdetails.spec.js","",""
"","840","login with wrong credentials","chromium","2026-06-05","passed","2026-06-05","signup","login.spec.js","",""
"","384","verify weather the checkout button is visible or not","chromium","2026-06-05","passed","2026-06-05","verifying checkout services","checkout.spec.js","",""
"","2502","verify weather user can able to deltet product or not in cart","webkit","2026-06-05","passed","2026-06-05","verify shopping cart","shoppingcart.spec.js","",""
"","679","Verifying the image in the home page is same as the image in the details page","chromium","2026-06-05","passed","2026-06-05","product details service","productdetails.spec.js","",""
"","1222","testing with empty username","firefox","2026-06-05","passed","2026-06-05","signup","login.spec.js","",""
"","150","TC12 Empty Login","webkit","2026-06-05","passed","2026-06-05","","api-addon.spec.js","",""
"","1137","Verify Modal login Does Not affect Navigation","chromium","2026-06-05","passed","2026-06-05","verify navigation services","navigation.spec.js","",""
"","1230","verify weather the product details page is loaded correctly or not","webkit","2026-06-05","passed","2026-06-05","product details service","productdetails.spec.js","",""
"","69","TC09 Delete Item","webkit","2026-06-05","passed","2026-06-05","","api-addon.spec.js","",""
"","258","verify each product on home webpage displays product image","chromium","2026-06-05","passed","2026-06-05","testing catalog products","catalog.spec.js","",""
"","78","TC12 Empty Login","firefox","2026-06-05","passed","2026-06-05","","api-addon.spec.js","",""
"","2641","verify weather the product image is same or not in cart","firefox","2026-06-05","passed","2026-06-05","product details service","productdetails.spec.js","",""
"","2633","testing log out","webkit","2026-06-05","passed","2026-06-05","signup","login.spec.js","",""
"","1","verify clicking the phones redirect to phones page","firefox","2026-06-05","skipped","2026-06-05","verify navigation services","navigation.spec.js","",""
"","534","verify close button in the contact form is enable or not","chromium","2026-06-05","passed","2026-06-05","verifying support or contact services","support-addon.spec.js","",""
"","3551","verify weather the product is add to the cart or not","webkit","2026-06-05","passed","2026-06-05","product details service","productdetails.spec.js","",""
"","269","verifying weather about us details are visible or not","chromium","2026-06-05","passed","2026-06-05","product details service","productdetails.spec.js","",""
"","67","TC16 Special Characters","webkit","2026-06-05","passed","2026-06-05","","api-addon.spec.js","",""
"","1257","verify clicking the laptops redirect to laptops page","webkit","2026-06-05","passed","2026-06-05","verify navigation services","navigation.spec.js","",""
"","1253","Verify Navigation Using Keyboard (Accessibility)","webkit","2026-06-05","passed","2026-06-05","verify navigation services","navigation.spec.js","",""
"","3247","verify weather the product price is displayed correctly or not on cart","firefox","2026-06-05","passed","2026-06-05","product details service","productdetails.spec.js","",""
"","2541","Form resets after successful order","firefox","2026-06-05","passed","2026-06-05","verifying checkout services","checkout.spec.js","",""
"","578","verify contact navigation","firefox","2026-06-05","passed","2026-06-05","verify navigation services","navigation.spec.js","",""
"","3174","Form resets after successful order","webkit","2026-06-05","passed","2026-06-05","verifying checkout services","checkout.spec.js","",""
"","1167","Verify all product categories are displayed","firefox","2026-06-05","passed","2026-06-05","testing catalog products","catalog.spec.js","",""
"","1527","verify weather name only filled in the form","firefox","2026-06-05","passed","2026-06-05","verifying checkout services","checkout.spec.js","",""
"","1300","verify clicking the phones redirect to phones page","webkit","2026-06-05","passed","2026-06-05","verify navigation services","navigation.spec.js","",""
"","468","Verify Navigation Works After Page Refresh","chromium","2026-06-05","passed","2026-06-05","verify navigation services","navigation.spec.js","",""
"","959","Verify Navigation Works After Page Refresh","firefox","2026-06-05","passed","2026-06-05","verify navigation services","navigation.spec.js","",""
"","728","verify weather the checkout button is visible or not","firefox","2026-06-05","passed","2026-06-05","verifying checkout services","checkout.spec.js","",""
"","1755","Verify laptop Category has products","webkit","2026-06-05","passed","2026-06-05","testing catalog products","catalog.spec.js","",""
"","1121","testing weather welcome adm@123 username is visible or not","chromium","2026-06-05","passed","2026-06-05","signup","login.spec.js","",""
"","636","verify all the name field in the order page are visible","chromium","2026-06-05","passed","2026-06-05","verifying checkout services","checkout.spec.js","",""
"","788","Password Field Masking","chromium","2026-06-05","passed","2026-06-05","signup","login.spec.js","",""
"","1644","verify weather the month field in the order form is visible or not","webkit","2026-06-05","passed","2026-06-05","verifying checkout services","checkout.spec.js","",""
"","189","TC11 Verify Login Token","webkit","2026-06-05","passed","2026-06-05","","api-addon.spec.js","",""
"","3619","verify placeorderform is opening or not which contains details","chromium","2026-06-05","passed","2026-06-05","product details service","productdetails.spec.js","",""
"","1885","Form resets after successful order","chromium","2026-06-05","passed","2026-06-05","verifying checkout services","checkout.spec.js","",""
"","1110","verify weather the checkout button is visible or not","webkit","2026-06-05","passed","2026-06-05","verifying checkout services","checkout.spec.js","",""
"","2089","verifying the total price","webkit","2026-06-05","passed","2026-06-05","product details service","productdetails.spec.js","",""
"","4437","verify placeorderform is opening or not which contains details","webkit","2026-06-05","passed","2026-06-05","product details service","productdetails.spec.js","",""
"","518","Verify Clicking Logo Redirects to Home","chromium","2026-06-05","passed","2026-06-05","verify navigation services","navigation.spec.js","",""
"","1551","verify weather the placeorder is visible or no in cart","chromium","2026-06-05","passed","2026-06-05","product details service","productdetails.spec.js","",""
"","2014","verify weather the product image is same or not in cart","chromium","2026-06-05","passed","2026-06-05","product details service","productdetails.spec.js","",""
"","1238","verifying missing country","firefox","2026-06-05","passed","2026-06-05","verifying checkout services","checkout.spec.js","",""
"","57","TC09 Delete Item","firefox","2026-06-05","passed","2026-06-05","","api-addon.spec.js","",""
"","1154","Verify success message appears after adding item","firefox","2026-06-05","passed","2026-06-05","verify shopping cart","shoppingcart.spec.js","",""
"","956","Verify category switching works properly","firefox","2026-06-05","passed","2026-06-05","testing catalog products","catalog.spec.js","",""
"","626","verify about us navigation","firefox","2026-06-05","passed","2026-06-05","verify navigation services","navigation.spec.js","",""
"","430","TC01 Signup Valid User","webkit","2026-06-05","passed","2026-06-05","","api-addon.spec.js","",""
"","1716","Verify correct product price is added","firefox","2026-06-05","passed","2026-06-05","verify shopping cart","shoppingcart.spec.js","",""
"","573","Verify weather the add cart button is visible or not","webkit","2026-06-05","passed","2026-06-05","product details service","productdetails.spec.js","",""
"","3275","verify weather the product is add to the cart or not","firefox","2026-06-05","passed","2026-06-05","product details service","productdetails.spec.js","",""
"","939","verify weather name only filled in the form","chromium","2026-06-05","passed","2026-06-05","verifying checkout services","checkout.spec.js","",""
"","189","TC19 Full Flow","firefox","2026-06-05","passed","2026-06-05","","api-addon.spec.js","",""
"","63","TC16 Special Characters","chromium","2026-06-05","passed","2026-06-05","","api-addon.spec.js","",""
"","277","verify product description when we click a product.","chromium","2026-06-05","passed","2026-06-05","testing catalog products","catalog.spec.js","",""
"","501","verify second close button is enable or not","chromium","2026-06-05","passed","2026-06-05","verifying support or contact services","support-addon.spec.js","",""
"","2881","Verify Phones Category has products","webkit","2026-06-05","passed","2026-06-05","testing catalog products","catalog.spec.js","",""
"","161","TC02 Signup Existing User","firefox","2026-06-05","passed","2026-06-05","","api-addon.spec.js","",""
"","627","verify weather the year field in the order form is visible or not","chromium","2026-06-05","passed","2026-06-05","verifying checkout services","checkout.spec.js","",""
"","251","Verify each product displays product name","chromium","2026-06-05","passed","2026-06-05","testing catalog products","catalog.spec.js","",""
"","984","Verify navigation from cart to home","firefox","2026-06-05","passed","2026-06-05","verify navigation services","navigation.spec.js","",""
"","71","TC03 Empty Username Signup","webkit","2026-06-05","passed","2026-06-05","","api-addon.spec.js","",""
"","82","TC12 Empty Login","chromium","2026-06-05","passed","2026-06-05","","api-addon.spec.js","",""
"","4700","Verify all product categories are displayed","webkit","2026-06-05","passed","2026-06-05","testing catalog products","catalog.spec.js","",""
"","1417","testing with wrong password","firefox","2026-06-05","passed","2026-06-05","signup","login.spec.js","",""
"","64","TC07 Add to Cart","chromium","2026-06-05","passed","2026-06-05","","api-addon.spec.js","",""
"","2475","verify weather the placeorder is visible or no in cart","webkit","2026-06-05","passed","2026-06-05","product details service","productdetails.spec.js","",""
"","1","verify clicking the laptops redirect to laptops page","firefox","2026-06-05","skipped","2026-06-05","verify navigation services","navigation.spec.js","",""
